Name;Kategorie;Gerätestufe;Handling_Strasse;Handling_Gelaende;Beschleunigung_Normal;Beschleunigung_Sprint;Geschwindigkeit_Normal;Geschwindigkeit_Sprint;Pilot;Rumpf;Panzerung;Sensor;Sitze;Quelle;Seite;Erläuterungen
Aztechnology Crawler;Kleine Drohnen;4.0;4.0;4.0;1.0;1.0;3.0;3.0;4.0;3.0;3.0;3.0;0.0;SR5;466;Riggerinterface
Aztechnology Hedgehog;Minidrohnen;4.0;3.0;3.0;1.0;1.0;1.0;1.0;4.0;1.0;0.0;3.0;0.0;R5;129;Riggerinterface
Blohm & Voss Classic 111;Schiffe;4.0;3.0;3.0;2.0;2.0;4.0;4.0;4.0;24.0;14.0;4.0;14.0;R5;88;Innenausstattung (Oberklasse)
BMW Gaia;Autos;2.0;4.0;3.0;2.0;2.0;4.0;4.0;2.0;11.0;8.0;2.0;4.0;SAG;45;Diebstahlsicherung
BMW GGX Sandleopard;Motorräder;2.0;3.0;5.0;2.0;2.0;4.0;4.0;2.0;8.0;9.0;3.0;2.0;SOTG;15;Geländeaufhängung
BMW i8 Interceptor;Sicherheit/Polizei/Militär;4.0;5.0;3.0;4.0;4.0;8.0;8.0;4.0;12.0;8.0;4.0;3.0;R5;68;Ölsprüher
BMW Luxus;Sicherheit/Polizei/Militär;5.0;5.0;5.0;3.0;3.0;5.0;5.0;5.0;18.0;16.0;6.0;8.0;R5;73;Innenausstattung (Mittelklasse)
BMW R12 Waffenrad;Sicherheit/Polizei/Militär;3.0;4.0;3.0;2.0;2.0;4.0;4.0;3.0;10.0;8.0;4.0;2.0;R5;66;
BMW Sleipnir;Motorräder;2.0;3.0;5.0;2.0;2.0;3.0;3.0;2.0;8.0;8.0;2.0;3.0;SAG;43;Geländeaufhängung
BMW Sturmwagen;Sicherheit/Polizei/Militär;4.0;5.0;4.0;2.0;2.0;4.0;4.0;4.0;17.0;18.0;5.0;10.0;R5;75;Zusätzliche Ein-/Ausstiege
BMW Teufelskatze;Sicherheit/Polizei/Militär;3.0;5.0;4.0;3.0;3.0;5.0;5.0;3.0;16.0;16.0;3.0;7.0;R5;71;FlashTech
BMW Trollhammer;Motorräder;1.0;4.0;3.0;2.0;2.0;4.0;4.0;1.0;10.0;8.0;2.0;1.0;TCT;184;Metamenschen-Anpassung
BMW X Infinity;Autos;2.0;5.0;5.0;2.0;2.0;4.0;4.0;2.0;14.0;13.0;4.0;6.0;SHB;42;
Buell Spartan;Motorräder;2.0;3.0;4.0;2.0;2.0;4.0;4.0;2.0;7.0;6.0;2.0;1.0;R5;45;Geländeaufhängung
Bulldog Step-Van;Autos;1.0;3.0;3.0;1.0;1.0;3.0;3.0;1.0;16.0;12.0;2.0;6.0;2050;208;
Bust-A-Move (zweite Generation);Mittlere Drohnen;2.0;4.0;4.0;1.0;1.0;3.0;3.0;2.0;2.0;1.0;2.0;0.0;SS;178;Riggerinterface
Camellos;Nutzfahrzeuge;1.0;3.0;2.0;1.0;1.0;3.0;3.0;1.0;16.0;5.0;2.0;200.0;HT;139;
Cargolifter Industries CL-180;Luftschiffe;4.0;4.0;4.0;2.0;2.0;2.0;2.0;4.0;12.0;12.0;4.0;4.0;SAG;57;Solarzellen
CAS-Regierungsfahrzeug (Esprit Industries Watcher (SUV)), Nachahmung;Sicherheit/Polizei/Militär;2.0;5.0;5.0;5.0;5.0;5.0;5.0;2.0;14.0;12.0;5.0;8.0;SS;187;
Caterpillar Omniwinder;Nutzfahrzeuge;3.0;2.0;2.0;1.0;1.0;3.0;3.0;3.0;20.0;16.0;3.0;3.0;SAG;52;Diebstahlsicherung
Cessna C750;Starrflügler;2.0;3.0;3.0;3.0;3.0;5.0;5.0;2.0;18.0;4.0;2.0;4.0;SR5;464;
Cessna C750;Starrflügler;2.0;3.0;3.0;3.0;3.0;5.0;5.0;2.0;18.0;4.0;2.0;6.0;2050;210;
Chevrolet Longboard;Autos;1.0;4.0;3.0;2.0;2.0;3.0;3.0;1.0;12.0;6.0;2.0;6.0;R5;52;Innenausstattung (spartanisch)
Chrysler-Nissan Bobcat;Autos;1.0;3.0;3.0;2.0;2.0;3.0;3.0;1.0;15.0;10.0;2.0;8.0;SHB;42;
Chrysler-Nissan Jackrabbit;Autos;1.0;4.0;3.0;2.0;2.0;3.0;3.0;1.0;8.0;4.0;2.0;2.0;SR5;462;
Chrysler-Nissan Jackrabbit;Autos;1.0;4.0;3.0;2.0;2.0;3.0;3.0;1.0;8.0;4.0;2.0;2.0;2050;208;
Chrysler-Nissan Journey (Pkw);Autos;1.0;4.0;3.0;3.0;3.0;3.0;3.0;1.0;9.0;5.0;1.0;4.0;SS;186;
Chrysler-Nissan Patrol-1;LKWs;1.0;5.0;4.0;3.0;3.0;3.0;3.0;1.0;12.0;12.0;2.0;4.0;2050;210;
Citroën-Brouillard Smoke Generator;Kleine Drohnen;2.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;2.0;0.0;2.0;0.0;R5;131;Riggerinterface
Clockwork Greyhound;Mittlere Drohnen;3.0;3.0;3.0;1.0;1.0;2.0;2.0;3.0;2.0;1.0;2.0;0.0;TVG;19;Riggerinterface
Cocotaxi;Motorräder;1.0;4.0;2.0;2.0;2.0;3.0;3.0;1.0;5.0;4.0;1.0;3.0;HT;139;
Conestoga Trailblazer (Möbelwagen);LKWs;2.0;2.0;1.0;1.0;1.0;2.0;2.0;2.0;14.0;6.0;1.0;2.0;SS;186;
Conestoga Trailblazer mit Anhänger (Möbelwagen);LKWs;2.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;20.0;6.0;1.0;2.0;SS;186;
Conestoga Vista;LKWs;1.0;-3.0;-3.0;15.0;25.0;90.0;90.0;1.0;20.0;4.0;1.0;0.0;AR;110;Innenausstattung (minimal)
Corsair Elysium;Schiffe;2.0;1.0;3.0;1.0;2.0;1.0;4.0;2.0;14.0;10.0;3.0;6.0;R5;85;Innenausstattung (Mittelklasse)
Corsair Panther;Schiffe;2.0;1.0;3.0;1.0;3.0;2.0;5.0;2.0;18.0;10.0;3.0;8.0;R5;85;Innenausstattung (Mittelklasse)
Corsair Trident;Schiffe;2.0;1.0;3.0;2.0;3.0;4.0;5.0;2.0;16.0;10.0;3.0;6.0;R5;87;Innenausstattung (Mittelklasse)
Corsair Triton;Schiffe;2.0;1.0;1.0;2.0;2.0;6.0;6.0;2.0;16.0;10.0;3.0;6.0;R5;87;Innenausstattung (Mittelklasse)
CrashCart MediCart;Große Drohnen;4.0;5.0;5.0;1.0;1.0;5.0;5.0;4.0;6.0;5.0;4.0;0.0;R5;143;Kettenantrieb
CrashCart-Krankenwagen (S-K LT-21), Nachahmung;Sicherheit/Polizei/Militär;3.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;23.0;11.0;3.0;3.0;SS;187;
Cyberspace Designs Dalmatian;Große Drohnen;3.0;5.0;5.0;3.0;3.0;5.0;5.0;3.0;5.0;5.0;3.0;0.0;SR5;466;Riggerinterface
Cyberspace Designs Dragonfly;Minidrohnen;3.0;4.0;4.0;1.0;1.0;2.0;2.0;3.0;1.0;3.0;3.0;0.0;R5;129;Riggerinterface
Cyberspace Designs Dragonfly;Kleine Drohnen;3.0;4.0;4.0;2.0;2.0;3.0;3.0;3.0;1.0;1.0;2.0;0.0;SS;179;Riggerinterface
Cyberspace Designs Wolfhound;Kleine Drohnen;2.0;3.0;3.0;1.0;1.0;2.0;2.0;2.0;2.0;0.0;4.0;0.0;R5;131;Riggerinterface
Daihatsu-Caterpillar Horseman;Motorräder;2.0;3.0;1.0;2.0;2.0;3.0;3.0;2.0;4.0;3.0;2.0;1.0;R5;41;Lebenserhaltungssystem
Dassault Sea Sprite;Rotormaschinen;3.0;5.0;5.0;3.0;3.0;4.0;4.0;3.0;18.0;12.0;5.0;14.0;R5;98;Seilwinde (Einfach)
DocWagon-Krankenwagen (GMC Endurance (Van)), Nachahmung;Sicherheit/Polizei/Militär;2.0;5.0;5.0;5.0;5.0;6.0;6.0;2.0;21.0;9.0;3.0;12.0;SS;187;
Dodge Caravaner;Autos;2.0;3.0;2.0;1.0;1.0;4.0;4.0;2.0;12.0;8.0;2.0;7.0;R5;58;
Dodge Charger;Sicherheit/Polizei/Militär;4.0;4.0;3.0;2.0;2.0;5.0;5.0;4.0;12.0;12.0;4.0;5.0;R5;67;
Dodge General Anhänger;Sicherheit/Polizei/Militär;3.0;3.0;3.0;1.0;1.0;3.0;3.0;3.0;20.0;16.0;7.0;1.0;R5;74;Spezialausrüstung
Dodge General Kommandowagen;Sicherheit/Polizei/Militär;5.0;3.0;3.0;1.0;1.0;4.0;4.0;5.0;20.0;16.0;7.0;10.0;R5;74;Zusätzliche Ein-/Ausstiege
Dodge Goliath;Sicherheit/Polizei/Militär;3.0;3.0;2.0;2.0;2.0;4.0;4.0;3.0;16.0;16.0;3.0;8.0;R5;70;Schießscharten
Dodge Hurricane;Autos;1.0;4.0;4.0;2.0;2.0;4.0;4.0;1.0;15.0;12.0;2.0;3.0;SHB;42;
Dodge Hurricane Crew-Modell;Autos;1.0;3.0;3.0;2.0;2.0;4.0;4.0;1.0;16.0;12.0;2.0;6.0;SHB;42;
Dodge Hurricane Security-Modell;Autos;3.0;4.0;3.0;2.0;2.0;4.0;4.0;3.0;16.0;14.0;3.0;5.0;SHB;42;
Dodge Minotaurus;Sicherheit/Polizei/Militär;4.0;4.0;5.0;2.0;2.0;5.0;5.0;4.0;14.0;8.0;4.0;4.0;R5;71;
Dodge Ram Industrial (breit) (Müllwagen);LKWs;2.0;2.0;1.0;1.0;1.0;1.0;1.0;2.0;16.0;8.0;4.0;4.0;SS;186;
Dodge Ram Industrial (schmall) (Müllwagen);LKWs;2.0;3.0;1.0;1.0;1.0;1.0;1.0;2.0;16.0;8.0;4.0;4.0;SS;186;
Dodge Rhino;Sicherheit/Polizei/Militär;6.0;4.0;4.0;2.0;2.0;4.0;4.0;6.0;24.0;14.0;7.0;9.0;R5;77;Zusätzliche Ein-/Ausstiege
Dodge Scoot;Motorräder;1.0;4.0;3.0;1.0;1.0;3.0;3.0;1.0;4.0;4.0;1.0;1.0;SR5;462;Geringerer Verbrauch
Dodge Scoot;Motorräder;1.0;4.0;3.0;1.0;1.0;3.0;3.0;1.0;4.0;4.0;1.0;1.0;2050;208;Geringerer Verbrauch
Dodge Stallion;Sicherheit/Polizei/Militär;3.0;3.0;4.0;3.0;3.0;5.0;5.0;3.0;16.0;12.0;3.0;4.0;R5;71;
Dodge Xenon;Autos;2.0;3.0;2.0;2.0;2.0;4.0;3.0;2.0;8.0;6.0;2.0;4.0;R5;47;
Echo Motors Metaway;Autos;1.0;4.0;2.0;1.0;1.0;4.0;4.0;1.0;10.0;4.0;2.0;1.0;R5;47;Metamenschen-Anpassung
Echo Motors Zip;Motorräder;1.0;3.0;2.0;1.0;1.0;3.0;3.0;1.0;6.0;4.0;2.0;1.0;R5;44;Metamenschen-Anpassung
EFA-Variante;Starrflügler;3.0;5.0;5.0;6.0;6.0;8.0;8.0;3.0;18.0;12.0;5.0;2.0;2050;210;
EMC 2073 Catcher;Sicherheit/Polizei/Militär;4.0;5.0;4.0;3.0;3.0;5.0;5.0;4.0;12.0;8.0;3.0;4.0;SAG;53;Diebstahlsicherung
EMC Celine;Autos;2.0;3.0;2.0;2.0;2.0;3.0;3.0;2.0;14.0;10.0;2.0;6.0;SAG;46;Diebstahlsicherung
Entertainment Systems Cyclops;Motorräder;1.0;4.0;4.0;2.0;2.0;4.0;4.0;1.0;4.0;4.0;1.0;1.0;R5;42;Gyrostabilisator
Esprit Industries Watcher (SUV);LKWs;1.0;3.0;3.0;3.0;3.0;3.0;3.0;1.0;9.0;8.0;3.0;5.0;SS;186;
Eurocar Escape;LKWs;2.0;3.0;4.0;1.0;1.0;3.0;3.0;2.0;16.0;12.0;3.0;8.0;SAG;47;Diebstahlsicherung
Eurocar Escape DeKW;LKWs;3.0;3.0;4.0;2.0;2.0;3.0;3.0;3.0;18.0;14.0;2.0;6.0;SOTG;16;Diebstahlsicherung
Eurocar Escape FüKomKW;LKWs;2.0;3.0;4.0;3.0;3.0;3.0;3.0;2.0;16.0;12.0;4.0;10.0;SOTG;16;Diebstahlsicherung
Eurocar Escape MzKW D;LKWs;3.0;3.0;4.0;3.0;3.0;3.0;3.0;3.0;18.0;14.0;2.0;6.0;SOTG;16;Diebstahlsicherung
Eurocar Northstar;Autos;3.0;5.0;3.0;2.0;2.0;6.0;6.0;3.0;12.0;8.0;5.0;4.0;R5;56;Innenausstattung (Mittelklasse)
Eurocar Westwind 2000;Autos;3.0;6.0;4.0;3.0;3.0;6.0;6.0;3.0;10.0;8.0;5.0;2.0;2050;208;
Eurocar Westwind 3000;Autos;3.0;6.0;4.0;3.0;3.0;7.0;7.0;3.0;10.0;8.0;5.0;2.0;SR5;463;Fahrgastsicherheitssystem
Eurocopter FC;Rotormaschinen;4.0;6.0;6.0;3.0;3.0;5.0;5.0;4.0;16.0;16.0;4.0;8.0;SHB3;219;ECM
Evo Aquavida 1;Schiffe;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;20.0;16.0;3.0;10.0;R5;90;Innenausstattung (Mittelklasse)
Evo Aquavida 2;Schiffe;1.0;2.0;2.0;2.0;2.0;1.0;1.0;1.0;20.0;16.0;3.0;12.0;R5;90;Innenausstattung (Mittelklasse)
Evo Barrakuda;Mittlere Drohnen;3.0;5.0;5.0;3.0;3.0;4.0;4.0;3.0;4.0;3.0;3.0;0.0;HAMG;173;Riggerinterface
Evo Falcon-EX;Motorräder;1.0;3.0;5.0;1.0;2.0;2.0;3.0;1.0;7.0;9.0;1.0;2.0;R5;43;Kettenantrieb
EVO Ikinokoru;Nutzfahrzeuge;4.0;4.0;4.0;4.0;4.0;5.0;5.0;4.0;17.0;18.0;4.0;8.0;Normi;3;
EVO Kanyuk;Rotormaschinen;6.0;5.0;5.0;5.0;5.0;6.0;6.0;6.0;16.0;20.0;6.0;4.0;Normi;1;
Evo Krokodil;Mittlere Drohnen;2.0;3.0;3.0;1.0;1.0;2.0;3.0;2.0;3.0;6.0;2.0;0.0;R5;140;Amphibisch (Drohne)
Evo Proletarian;Kleine Drohnen;2.0;4.0;2.0;1.0;1.0;2.0;2.0;2.0;2.0;0.0;2.0;0.0;R5;132;Drohnenarm
EVO Sokol;Rotormaschinen;3.0;5.0;5.0;4.0;4.0;5.0;5.0;3.0;10.0;12.0;6.0;1.0;Normi;2;
Evo Water Strider;Schiffe;2.0;3.0;3.0;1.0;1.0;2.0;2.0;2.0;8.0;5.0;2.0;1.0;R5;84;Lebenserhaltungssystem
Evo Waterking;Schiffe;3.0;3.0;3.0;2.0;2.0;3.0;3.0;3.0;14.0;8.0;2.0;12.0;R5;79;Innenausstattung (Mittelklasse)
Evo-Krime Krime Wing;Senkrechtstarter;4.0;4.0;4.0;5.0;5.0;6.0;6.0;4.0;22.0;18.0;5.0;20.0;R5;105;Metamenschen-Anpassung
F-B Bumblebee;Mittlere Drohnen;3.0;3.0;3.0;1.0;1.0;2.0;2.0;3.0;4.0;14.0;3.0;0.0;NP;23;Riggerinterface
Federated-Boeing Commuter;Senkrechtstarter;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;16.0;8.0;3.0;30.0;SR5;465;
Federated-Boeing Commuter;Senkrechtstarter;3.0;3.0;3.0;3.0;3.0;3.0;3.0;3.0;16.0;8.0;3.0;30.0;2050;210;
Federated-Boeing Eagle;Senkrechtstarter;4.0;5.0;5.0;4.0;4.0;7.0;7.0;4.0;16.0;14.0;4.0;6.0;2050;210;
Federated-Boeing Kull;Mittlere Drohnen;3.0;3.0;3.0;2.0;2.0;4.0;4.0;3.0;3.0;0.0;2.0;0.0;R5;140;Riggerinterface
Federated-Boeing PBY-70 Catalina II;Starrflügler;3.0;4.0;4.0;3.0;3.0;3.0;3.0;3.0;22.0;14.0;4.0;16.0;R5;100;
Ferngesteuerte Cyberhand;Minidrohnen;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;R5;130;Riggerinterface
Ferret RPD-1X;Kleine Drohnen;3.0;4.0;2.0;1.0;1.0;1.0;1.0;3.0;2.0;3.0;3.0;0.0;R5;132;Riggerinterface
Festo Pigeon 2.0;Minidrohnen;2.0;4.0;4.0;1.0;1.0;2.0;2.0;2.0;1.0;0.0;2.0;0.0;R5;129;Realistisches Aussehen (Drohne)
Festo Sewer Snake;Kleine Drohnen;2.0;3.0;3.0;1.0;1.0;1.0;1.0;2.0;2.0;0.0;2.0;0.0;R5;132;Riggerinterface
Firmenmöbelwagen (Conestoga Trailblazer), Nachahmung;Sicherheit/Polizei/Militär;3.0;3.0;2.0;2.0;2.0;3.0;3.0;3.0;21.0;9.0;2.0;3.0;SS;187;
Firmenmöbelwagen mit Anhänger (Conestoga Trailblazer), Nachahmung;Sicherheit/Polizei/Militär;3.0;2.0;2.0;2.0;2.0;2.0;2.0;3.0;30.0;9.0;2.0;3.0;SS;187;
Firmenmüllwagen (Dodge Ram Industrial: breit);Sicherheit/Polizei/Militär;3.0;3.0;2.0;2.0;2.0;2.0;2.0;3.0;24.0;12.0;6.0;6.0;SS;187;
Firmenmüllwagen (Dodge Ram Industrial: schmal);Sicherheit/Polizei/Militär;3.0;5.0;2.0;2.0;2.0;2.0;2.0;3.0;24.0;12.0;6.0;6.0;SS;187;
Ford Americar;Autos;1.0;4.0;3.0;2.0;2.0;3.0;3.0;1.0;11.0;6.0;2.0;4.0;SR5;463;
Ford Americar;Autos;1.0;4.0;3.0;2.0;2.0;3.0;3.0;1.0;11.0;6.0;2.0;4.0;2050;208;
Ford Broadcast;LKWs;2.0;3.0;3.0;1.0;1.0;3.0;3.0;2.0;16.0;12.0;4.0;4.0;NF;174;
Ford Econovan;Autos;2.0;3.0;2.0;1.0;1.0;4.0;4.0;2.0;14.0;8.0;2.0;10.0;R5;58;Innenausstattung (spartanisch)
Ford Percheron;Autos;4.0;3.0;3.0;2.0;2.0;3.0;3.0;4.0;15.0;6.0;3.0;6.0;R5;54;
Ford Titan;Autos;2.0;3.0;2.0;1.0;1.0;4.0;4.0;2.0;16.0;8.0;2.0;8.0;TCT;184;Metamenschen-Anpassung
GMC 442 Chameleon;Autos;1.0;4.0;2.0;1.0;1.0;4.0;4.0;1.0;10.0;4.0;1.0;4.0;R5;48;
GMC Armadillo;Autos;1.0;3.0;4.0;2.0;2.0;4.0;4.0;1.0;13.0;10.0;2.0;6.0;R5;54;Geländeaufhängung
GMC Banshee;Senkrechtstarter;4.0;6.0;6.0;4.0;4.0;8.0;8.0;4.0;20.0;18.0;6.0;12.0;SR5;465;Rigger-Schutzblase
GMC Beachcraft Patroller;Nutzfahrzeuge;3.0;5.0;5.0;2.0;2.0;3.0;3.0;3.0;20.0;10.0;5.0;6.0;2050;210;
GMC Bulldog Step-Van;LKWs;1.0;3.0;3.0;1.0;1.0;3.0;3.0;1.0;16.0;12.0;2.0;6.0;SR5;463;
GMC Commercial D-Reihe;Nutzfahrzeuge;2.0;2.0;2.0;1.0;1.0;3.0;3.0;2.0;16.0;10.0;2.0;2.0;R5;63;Spezialausrüstung
GMC Commercial D-Reihe Compact;Nutzfahrzeuge;2.0;2.0;2.0;1.0;1.0;3.0;3.0;2.0;12.0;8.0;2.0;2.0;R5;63;Spezialausrüstung
GMC Commercial D-Reihe DD;Nutzfahrzeuge;2.0;2.0;2.0;1.0;1.0;3.0;3.0;2.0;20.0;12.0;2.0;2.0;R5;63;Spezialausrüstung
GMC Commercial G-Reihe;Nutzfahrzeuge;2.0;2.0;2.0;1.0;1.0;3.0;3.0;2.0;18.0;12.0;3.0;2.0;R5;62;GridLink
GMC Endurance (Van);LKWs;1.0;3.0;3.0;3.0;3.0;4.0;4.0;1.0;14.0;6.0;2.0;8.0;SS;186;
GMC Escalade;Autos;3.0;3.0;3.0;2.0;2.0;4.0;4.0;3.0;16.0;10.0;4.0;6.0;R5;57;Innenausstattung (Oberklasse)
GMC Gryphon;Senkrechtstarter;4.0;5.0;5.0;7.0;7.0;8.0;8.0;4.0;24.0;24.0;5.0;2.0;R5;103;Riggerinterface
GMC Phoenix;Autos;2.0;4.0;2.0;3.0;3.0;6.0;6.0;2.0;10.0;6.0;3.0;4.0;R5;51;
GMC Riverine;Schiffe;3.0;5.0;5.0;4.0;4.0;4.0;4.0;3.0;14.0;10.0;4.0;6.0;2050;210;
GMC Riverine Military;Schiffe;6.0;4.0;4.0;3.0;3.0;5.0;5.0;6.0;20.0;20.0;6.0;8.0;R5;92;Innenausstattung (minimal)
GMC Riverine Police;Schiffe;4.0;4.0;4.0;3.0;3.0;5.0;5.0;4.0;16.0;14.0;5.0;8.0;R5;92;Innenausstattung (minimal)
GMC Riverine Security;Schiffe;4.0;4.0;4.0;3.0;3.0;5.0;5.0;4.0;16.0;12.0;4.0;8.0;R5;92;Innenausstattung (minimal)
GMC Sidewinder (SUV);LKWs;2.0;4.0;3.0;2.0;2.0;4.0;4.0;2.0;10.0;6.0;2.0;6.0;SS;186;
GMC Snatch'n'Grab;Große Drohnen;3.0;3.0;3.0;2.0;2.0;4.0;4.0;3.0;2.0;4.0;3.0;0.0;SS;179;Riggerinterface
GMC Universe;Autos;3.0;3.0;3.0;1.0;1.0;4.0;3.0;3.0;14.0;8.0;2.0;16.0;R5;59;
GMC-Banshee;Senkrechtstarter;4.0;6.0;6.0;4.0;4.0;8.0;8.0;4.0;20.0;18.0;6.0;12.0;2050;210;
GM-Nissan Doberman;Mittlere Drohnen;3.0;5.0;5.0;1.0;1.0;3.0;3.0;3.0;4.0;4.0;3.0;0.0;SR5;466;Riggerinterface
GTS Tower;Große Drohnen;2.0;2.0;2.0;1.0;1.0;1.0;1.0;2.0;4.0;6.0;2.0;0.0;R5;143;Standard-Drohnenhalterung (Mini)
Harley-Davidson Nightmare;Motorräder;2.0;4.0;3.0;2.0;2.0;5.0;5.0;2.0;8.0;8.0;3.0;2.0;R5;45;
Harley-Davidson Scorpion;Motorräder;1.0;4.0;3.0;2.0;2.0;4.0;4.0;1.0;8.0;9.0;2.0;1.0;SR5;462;Metamenschen-Anpassung
